product_url,product_id,product_name,product_price,product_old_price,product_discount,product_brand,product_category,product_image,image_width,image_height,shipping_type,rating_percent,num_of_ratings
https://www.jumia.com.ng/sunsky-litchi-texture-vertical-flip-upright-lattice-pu-leather-case-waist-bag-with-back-splint-and-card-slots-and-lanyard-for-iphone-7-plus-samsung-galaxy-s8-plus-note-5-huawei-mate-8-bla-6225595.html,SU104EL0ZGETGNAFAMZ,"Litchi Texture Vertical Flip Upright Lattice Pu Leather Case / Waist Bag With Back Splint And Card Slots And Lanyard For Iphone 7 Plus , Samsung Galaxy S8 Plus / Note 5 , Huawei Mate 8, (bla",2570,3671,30%,Sunsky,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/55226/1.jpg?8222,208,208,Shipped from abroad,100%,5 out of 5(1)
https://www.jumia.com.ng/generic-for-samsung-galaxy-note-8-dropproof-full-coverage-protective-case-cover-with-magnetic-rotatable-ring-holder-black-12120253.html,GE779EL0KYI4PNAFAMZ,For Samsung Galaxy Note 8 Dropproof Full Coverage Protective Case Cover With Magnetic Rotatable Ring Holder (Black),2050,2929,30%,Generic,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/202121/1.jpg?6052,208,208,Shipped from abroad,100%,5 out of 5(1)
https://www.jumia.com.ng/samsung-galaxy-note-8-clear-viewmirror-protective-flip-case-pouch-generic-mpg1207992.html,GE779EL181ZW0NAFAMZ,Samsung Galaxy Note 8 Clear View/Mirror Protective Flip Case (Pouch,5500,,,Generic,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/996272/1.jpg?2044,208,208,,100%,5 out of 5(1)
https://www.jumia.com.ng/generic-for-samsung-galaxy-note-8-n9500-touch-stylus-s-penblack-10734283.html,SU104EL0MRP11NAFAMZ,For Samsung Galaxy Note 8 / N9500 Touch Stylus S Pen(Black),3020,4314,30%,Generic,Electronics/Accessories/Gadgets,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/243701/1.jpg?4353,208,208,Shipped from abroad,100%,5 out of 5(1)
https://www.jumia.com.ng/generic-wireless-charger-for-iphone-8x-8-plus-qi-fast-quick-wireless-charging-pad-wireless-charger-for-samsung-galaxy-s8s7-s8-bluefor-iphone-xs-max-xs-xr-x-8-8-plus-samsung-galaxy-s9-s9-note-9-note-8-s8-google-pixel-3-3xl.-24395331.html,GE779MT07YC4UNAFAMZ,"Wireless Charger For IPhone 8/X /8 Plus Qi Fast Quick Wireless Charging Pad Wireless Charger For Samsung Galaxy S8/S7 /S8 + - Blue,for IPhone XS Max, XS, XR, X, 8, 8 Plus, Samsung Galaxy S9, S9+, Note 9, Note 8, S8, Google Pixel 3, 3xl.",4400,7480,41%,Generic,Phones & Tablets/Accessories/Chargers & Power Adapters,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/13/359342/1.jpg?3010,208,208,Shipped from abroad,100%,5 out of 5(1)
https://www.jumia.com.ng/samsung-galaxy-note-98s7edges8s8pluss9s9plusiphone88plusxxsmax-all-genuine-products-battery-power-backup-case-rechargeable-extended-charging-case-generic-mpg272996.html,GE779MT14Z9ASNAFAMZ,Samsung Galaxy Note 9/8/S7Edge/S8/S8Plus/S9/S9Plus/Iphone8/8Plus/X/XsMax  All Genuine Products Battery Power Backup Case Rechargeable Extended Charging Case,25000,,,Generic,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/829652/1.jpg?1921,208,208,,100%,5 out of 5(1)
https://www.jumia.com.ng/galaxy-note-note-8-s-pen-generic-mpg1181925.html,GE779EL0PF87XNAFAMZ,Galaxy Note Note 8 S Pen,13000,,,Generic,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/42/700893/1.jpg?9316,208,208,,100%,5 out of 5(1)
https://www.jumia.com.ng/generic-pu-leather-flip-case-for-samsung-galaxy-a3-a5-a6-a8-plus-2018-j2-pro-j4-j6-j8-j3-j5-j7-duo-2017-prime-note-8-9-cover-case-b128red-42867306.html,GE779MT0ZY320NAFAMZ,PU Leather Flip Case For Samsung Galaxy A3 A5 A6 A8 Plus 2018 J2 Pro J4 J6 J8 J3 J5 J7 Duo 2017 Prime Note 8 9 Cover Case B128(Red),4403,11007,60%,Generic,"Phones & Tablets/Tablet Accessories/Bags, Cases & Sleeves",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/376824/1.jpg?5006,208,208,Shipped from abroad,100%,5 out of 5(1)
https://www.jumia.com.ng/generic-qi-wireless-charger-for-iphone-x-8-xs-max-xr-charging-pad-for-samsung-galaxy-s9-s8-plus-s7-s6-edge-note-9-8-5-usb-charger-cui-41964794.html,GE779OT0TM8YQNAFAMZ,Qi Wireless Charger For IPhone X 8 Xs Max Xr Charging Pad For Samsung Galaxy S9 S8 Plus S7 S6 Edge Note 9 8 5 USB Charger CUI,4550,7844,42%,Generic,Automobile/Motorcycle & Powersports/Accessories/Battery Chargers,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/49/746914/1.jpg?3666,208,208,Shipped from abroad,100%,5 out of 5(1)
https://www.jumia.com.ng/generic-smart-mirror-flip-phone-case-for-samsung-galaxy-s9-s10-s8-s7-s6-edge-plus-s10e-clear-view-cover-for-samsung-note-9-8-5-4-3-caserose-gold-bdz-42909051.html,GE779EA08ZG8CNAFAMZ,Smart Mirror Flip Phone Case For Samsung Galaxy S9 S10 S8 S7 S6 Edge Plus S10E Clear View Cover For Samsung Note 9 8 5 4 3 Case(Rose Gold) BDZ,4499,7755,42%,Generic,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/15/090924/1.jpg?4958,208,208,Shipped from abroad,100%,5 out of 5(1)
https://www.jumia.com.ng/generic-for-samsung-galaxy-note-8-magic-armor-tpu-pc-combination-case-black-12123473.html,GE779EL0MAAT5NAFAMZ,For Samsung Galaxy Note 8 Magic Armor TPU + PC Combination Case (Black),1730,2471,30%,Generic,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/37/432121/1.jpg?1247,208,208,Shipped from abroad,100%,5 out of 5(1)
https://www.jumia.com.ng/samsung-qi-wireless-charger-pad-for-galaxy-s6-s7-s8-s9-s10-plus-note-8-9-iphone-8-x-xr-xs-plus-mate-20-car-35345426.html,SA948OT116M35NAFAMZ,QI Wireless Charger Pad For Galaxy S6 S7 S8 S9 S10 Plus Note 8 9 IPhone 8 X XR XS Plus Mate 20 CAR,7861,21808,64%,Samsung,Automobile/Motorcycle & Powersports/Accessories/Battery Chargers,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/62/454353/1.jpg?4736,208,208,Shipped from abroad,100%,5 out of 5(1)
https://www.jumia.com.ng/generic-qi-wireless-charger-for-samsung-galaxy-s8-wireless-charger-with-cooling-fan-qi-wireless-charging-stand-for-iphone-x-8-plus-blackfor-iphone-xs-max-xs-xr-x-8-8-plus-samsung-galaxy-s9-s9-note-9-note-8-s8-google-pixel-3-3xl.-11567552.html,GE779EL0F86YNNAFAMZ,"Qi Wireless Charger For Samsung Galaxy S8 Wireless Charger With Cooling Fan QI Wireless Charging Stand For IPhone X 8 Plus - Black,for IPhone XS Max, XS, XR, X, 8, 8 Plus, Samsung Galaxy S9, S9+, Note 9, Note 8, S8, Google Pixel 3, 3xl.",10100,18180,44%,Generic,"Electronics/Accessories & Supplies/Batteries, Chargers & Accessories",https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/25/576511/1.jpg?9319,208,208,Shipped from abroad,100%,5 out of 5(1)
https://www.jumia.com.ng/leather-case-flip-cover-wallet-belt-clip-holster-stand-for-samsung-galaxy-note-8-brown-generic-mpg570301.html,GE779MT149RUGNAFAMZ,Leather Case Flip Cover Wallet Belt-Clip Holster Stand For Samsung GALAXY Note 8 Brown,5599,11198,50%,Generic,Phones & Tablets/Accessories/Cases,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/640632/1.jpg?3881,208,208,Shipped from abroad,100%,5 out of 5(1)
